user_id,country,role,app,failed_logins,mfa_failures,new_device,new_country,impossible_travel,after_hours,privileged,sensitive_app,dormant_account,contractor,downloads,risk_score,label,risk_level
user_0,Canada,employee,Slack,1,1,0,0,0,1,0,1,0,1,2,50,1,Suspicious
user_1,Nigeria,manager,AWS,0,0,0,0,0,0,0,0,0,0,3,6,0,Normal
user_2,UK,employee,Slack,0,1,0,1,1,1,0,0,0,0,2,63,1,Suspicious
user_3,Canada,service_account,Payroll,1,1,0,0,0,1,1,1,0,0,2,60,1,Suspicious
user_4,US,employee,Salesforce,0,0,0,0,0,0,0,0,0,1,3,14,0,Normal
user_5,Germany,manager,ServiceNow,0,1,0,0,0,0,0,1,0,0,1,24,0,Normal
user_6,US,service_account,AWS,0,1,1,0,0,1,1,0,0,0,2,54,1,Suspicious
user_7,China,manager,Payroll,0,0,0,0,0,1,0,0,0,0,1,12,0,Normal
user_8,Nigeria,employee,Azure,0,2,1,0,0,1,0,1,0,0,1,56,1,Suspicious
user_9,UK,contractor,GitHub,1,1,0,0,0,0,0,1,0,0,5,38,1,Suspicious
user_10,Nigeria,manager,AWS,0,0,0,0,0,0,0,1,0,0,5,22,0,Normal
user_11,Russia,employee,Salesforce,1,1,0,0,0,0,0,0,0,0,0,16,0,Normal
user_12,China,employee,GitHub,1,1,0,0,1,0,0,0,1,1,4,72,2,High Risk
user_13,Russia,service_account,GitHub,0,0,1,1,0,0,0,1,0,1,2,50,1,Suspicious
user_14,US,contractor,ServiceNow,0,1,0,0,0,0,0,0,0,0,2,14,0,Normal
user_15,Canada,contractor,Salesforce,0,1,1,0,0,0,0,0,0,1,6,42,1,Suspicious
user_16,Nigeria,service_account,Azure,0,1,0,0,0,1,1,1,0,0,6,62,1,Suspicious
user_17,Russia,service_account,AWS,1,0,0,1,0,0,0,0,1,0,6,47,1,Suspicious
user_18,Canada,employee,Slack,4,0,0,0,0,1,1,0,0,0,1,54,1,Suspicious
user_19,Germany,admin,Salesforce,1,0,0,0,0,1,0,0,0,0,2,20,0,Normal
user_20,Germany,employee,Payroll,0,0,0,0,0,1,0,0,0,0,1,12,0,Normal
user_21,Nigeria,contractor,Slack,0,2,0,0,0,0,0,1,0,0,5,42,1,Suspicious
user_22,Russia,manager,GitHub,0,1,0,0,0,1,0,0,0,0,2,24,0,Normal
user_23,Russia,manager,Slack,1,1,0,0,0,1,0,0,0,0,0,26,0,Normal
user_24,Nigeria,employee,ServiceNow,2,0,0,0,0,1,0,1,1,0,1,51,1,Suspicious
user_25,UK,service_account,Slack,0,0,0,0,0,1,0,1,0,0,6,34,0,Normal
user_26,Germany,manager,Payroll,3,0,0,0,1,1,0,1,0,0,5,75,2,High Risk
